"Einlagen";"Risiko";"Gültigkeit am 2025-10-18 19:04:59";;;;;;;;;;
;;;;;;;;;;;;
"Risikobezug";"Relevant";"Ursache";"Wirkung";"Wahrscheinlichkeit";"Schaden";"Akzeptanzlevel";"Maßnahme";"Wahrscheinlichkeit nach Maßnahme";"Schaden nach Maßnahme";"Akzeptanzlevel danach";"Risiko-Nutzen-Abwägung";"Verbleibende Maßnahmen sofern zutreffend"
"2 Biologische Gefährdungen 2.11 Pyrogenität
3 Gefährdungen durch die Umwelt 3.6 Lagerung oder Betrieb außerhalb der vorgeschriebenen Umweltbedingungen
3 Gefährdungen durch die Umwelt 3.11 Entflammbarkeit";"ja";"Lagerung an Hitzequellen; Mangelnde Sicherheit bei Umgang mit offenem Feuer oder Hitzequelle, Lagerung oder Betrieb außerhalb der Spezifikation";"Verlust der Passform und des Hilfsmittels, Funktionsstörung; Verbrennungen und Vergiftungen durch Verbrennungsprodukte";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter";"unwahrscheinlich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Einsatz- und Belastungsgrenzen"
"2 Biologische Gefährdungen 2.12 Unfähigkeit, die hygienische Sicherheit aufrechtzuerhalten
2 Biologische Gefährdungen 2.5 Allergenität
7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.7 Wiederverwendung und/oder unrichtige Wiederverwendung";"ja";"Mangelnde Körperpflege, mangelnde Reinigung der Einlagen";"Hautschädigung, Reizung, Unverträglichkeit, Sensibilisierung, Infektionen, Verschleiß / Defekt des Hilfsmittels";"sehr wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Unterweisung der Patienten durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Reinigungs- und Pflegehinweise"
"2 Biologische Gefährdungen 2.13 Abbau des Werkstoffs";"ja";"Materialien von Tieren, die nicht veterinärmedizinisch kontrolliert wurden und möglicherweise infiziert sind";"Übertragung von Viren, TSE-Erreger und der hieraus resultierenden Erkrankungen";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Verwendung von etablierten und unbedenklichen Materialien der Zweckbestimmung entsprechend.";"unwahrscheinlich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"2 Biologische Gefährdungen 2.2 biologische Unverträglichkeit";"ja";"Infektion und mikrobiologische Verseuchung durch Kontakt von Leder mit verletzter Haut";"Infektionen";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Verwendung von geeigneten Materialien gemäß Risikomanagement";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Maßnahmen bei verletzter Haut"
"2 Biologische Gefährdungen 2.2 biologische Unverträglichkeit
2 Biologische Gefährdungen 2.4 Toxizität
2 Biologische Gefährdungen 2.5 Allergenität
2 Biologische Gefährdungen 2.6 Mutagenität
2 Biologische Gefährdungen 2.7 Onkogenität
2 Biologische Gefährdungen 2.8 Teratogenität
2 Biologische Gefährdungen 2.9 Karzinogenität";"ja";"Ggf. ungeeignete Materialauswahl";"Vermehrte Schweißbildung, Hautschädigung, Reizung, Unverträglichkeit, Sensibilisierung, biologische Veränderungen";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Verwendung von geeigneten Materialien gemäß Risikomanagement";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"3 Gefährdungen durch die Umwelt 3.6 Lagerung oder Betrieb außerhalb der vorgeschriebenen Umweltbedingungen";"ja";"Belassen der Einlage im regennassen Schuh; Einlage nass durch starke Schweißbildung";"Aufweichung von Hautregionen; Veränderungen der Formstabilität sowie der Festigkeit der Einlage";"sehr wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Sicherheitshinweise für konkrete Lagerung in der Gebrauchsanweisung; Materialauswahl der Einzelkomponenten unter Betrachtung der Zweckbestimmung und dem Einsatzort je nach Patienten (z.B. Sport, Alltag, etc.)";"möglich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA"
"3 Gefährdungen durch die Umwelt 3.9 unzureichende Beständigkeit gegen Reinigungs- und Desinfektionsmittel";"ja";"Kontakt mit ungeeigneten Reinigungsmitteln";"Hautschädigung durch Materialermüdung, Defekt";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Reinigungshinweise"
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.1 mangelhafte Kennzeichnung";"ja";"unzureichende Befestigung der Sonderanfertigungskennzeichnung";"keine Rückverfolgbarkeit";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"ausreichende Kennzeichnung durch qualifizierte Mitarbeiter";"möglich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.18 scharfe Kanten und Ecken";"ja";"Die mechanische Belastung kann beim Tragen Produktverschlechterung bedingen";"Verlust des medzinischen / therapeutischen Nutzens, Verschlechterung des Zustands der Patienten";"sehr wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Durch regelmäßige Kontrolltermine werden die Produkteigenschaften kontrolliert und überwacht";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.8 begründet voraussehbarer Missbrauch
5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.11 mechanische Beschädigung
5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.12 fehlerhafte mechanische Verbindung";"ja";"Die Einlagen werden falsch in den Schuh eingelegt, in ungeeignetes Schuhwerk";"Verlust des medzinischen / therapeutischen Nutzens, Verschlechterung des Zustands der Patienten, Stolpergefahr";"sehr wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Zur Eindeutigkeit werden die Einlagen mit R / L für Einlegen in rechten und linken Schuh gekennzeichnet, Unterweisung der Patienten";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"6 Ungeeignete, unzulängliche oder zu komplizierte Schnittstelle mit dem Anwender 6.3 Versehen und Fehler (auf körperlicher oder geistiger Grundlage)";"ja";"Krallen der Zehen beim Anziehen";"Haut- oder Weichteilschädigung";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Unterweisung der Patienten durch qualifizierte Mitarbeiter; Schuh weit öffnen";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Handhabung / Funktionsweise / Risiken"
"6 Ungeeignete, unzulängliche oder zu komplizierte Schnittstelle mit dem Anwender 6.3 Versehen und Fehler (auf körperlicher oder geistiger Grundlage)";"ja";"Schuh zu eng";"Haut- oder Weichteilschädigung";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Unterweisung der Patienten durch qualifizierte Mitarbeiter; geeignete Schuhauswahl";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Handhabung / Funktionsweise / Risiken"
"6 Ungeeignete, unzulängliche oder zu komplizierte Schnittstelle mit dem Anwender 6.3 Versehen und Fehler (auf körperlicher oder geistiger Grundlage)";"ja";"Schuh zu lang";"Unsicherheit beim Laufen, Stolpergefahr";"wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Unterweisung der Patienten durch qualifizierte Mitarbeiter; geeignete Schuhauswahl";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Handhabung / Funktionsweise / Risiken"
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.2 fehlende oder unzureichende Spezifikationen für die Wartung einschließlich unzureichender Spezifikation für Funktionsprüfung nach der Wartung
7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.4 fehlende geeignete Festlegung, wann die Gebrauchsfähigkeit des Medizinprodukts ausläuft";"ja";"Die Nutzungsdauer ist nicht klar festgelegt";"Verschleißerscheingungen, unzureichende Festigkeit und Formstabilität; Verlust des therapeutischen/medizinischen Nutzens; Verschlechterung des Zustandes des Patienten; weitere Fußdeformationen oder Fehlstellungen";"wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Die Nutzungsdauer ist in der Gebrauchsanweisung hinterlegt";"wahrscheinlich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.5 Verlust der elektrischen/mechanischen Unversehrtheit";"ja";"Materialermüdung, -verschleiß, geringer werdende Rückstellkraft des Materials aufgrund Überalterung";"Verlust des medizinischen / therapeutischen Nutzens; Verschlechterung des Zustands der Patienten";"sehr wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Unterweisung der Patienten über die Produktlebensdauer bei Abgabe des Produkts, Kunden auf Kontrolltermine hinweisen";"wahrscheinlich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Handhabung / Funktionsweise / Risiken"
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.5 Verlust der elektrischen/mechanischen Unversehrtheit
3 Gefährdungen durch die Umwelt 3.10 unzureichende Beständigkeit gegen Schweiß";"ja";"Materialporosität aufgrund übermäßig hoher Schweißabsonderung, Reaktion / Veränderungen der Materialeigenschaften aufgrund übermäßig hoher Schweißabsonderung";"Verlust des medizinischen / therapeutischen Nutzens; Verschlechterung des Zustands der Patienten, Geruchsbildung, Pilzbildung, Veränderung der Formstabilität sowie der Festigkeit der Einlage; Schädigung der Materialoberfläche";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Durch regelmäßige Kontrolltermine werden die Produkteigenschaften kontrolliert und überwacht, Sicherheitshinweise zur Reinigung der Einlage inkl. Reinigungsverfahren";"möglich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.6 ungeeignete Verpackung (Verunreinigung und/oder Beeinträchtigung des Medizinprodukts)";"ja";"mangelhafte Verpackung, mangelhafte Sicherung während des Transports";"Zerstörung / Beschädigung der Prothese während der Lagerung / Transport";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Ausreichende Verpackung, ausreichende Sicherung während des Transports";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko im Versandfall muss akzeptiert werden, da im Einzelfall ein Versand unumgänglich ist um die Versorgung im Sinne der Compliance sicherstellen zu können.";
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.7 Wiederverwendung und/oder unrichtige Wiederverwendung";"ja";"Einlagen für die verwendeten Schuhe zu groß / zu klein";"Druckstellen an Phalangen";"wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Anfordern und Prüfen des vorgesehenen Schuhwerks; Unterweisung der Patienten";"möglich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Handhabung / Funktionsweise / Risiken"
"8 Gefährdungen infolge von Herstellungsfehlern 8.1 Fehlerhafte Zulieferkomponenten";"ja";"Konformitätserklärung, Unbedenklichkeitsbescheinigungen sind nicht vorhanden";"Bei Diabetikern Ulcus-Gefahr; Schädigungen in Form von begleitenden Erkrankungen wie Allergien, Unverträglichkeiten, usw.";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Anfordern, prüfen und Aktualisierung der entsprechenden Nachweise zur Weiterverarbeitung der Komponenten";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.4 Fehlerhafte Fertigung";"ja";"Falsche oder falsch angewendete Klebstoffe";"Sohlen lösen sich, Kork löst sich; Verlust des medizinischen / therapeutischen Nutzens; Verschlechterung des Zustands der Patienten";"wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Schulung der Mitarbeiter über den Umgang mit den im Unternehmen verwendeten Klebstoffen und Verweis auf die Sicherheitsdatenblätter der Hersteller";"unwahrscheinlich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.4 Fehlerhafte Fertigung";"ja";"Materialien, die hinsichtlich ihrer Inhaltsstoffe und der Verarbeitungsweise nicht einwandfrei oder kombinierbar sind";"Toxizität, Entflammbarkeit; Hautreizungen, Allergien";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Mitarbeiter sind in der Materialauswahl und -kombination geschult und unterwiesen";"unwahrscheinlich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
