"Prothetik untere Extremität";"Risiko";"Gültigkeit am 2025-10-18 19:04:59";;;;;;;;;;
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.7 Wiederverwendung und/oder unrichtige Wiederverwendung";"ja";"mangelnde Reinigung der Prothese";"Hautschädigung, Reizung, Unverträglichkeit, Sensibilisierung, Infektion";"sehr wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Unterweisung der Patienten durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Stumpfbehandlung, Stumpfhygiene, Reinigung / Desinfektion"
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.8 Funktionsverschlechterung (z. B. zunehmender Verschluss von Flüssigkeits-oder Gasleitungen, oder Veränderungen des Strömungswiderstandes oder der elektrischen Leitfähigkeit) als Ergebnis widerholten Gebrauchs";"ja";"Abnutzung beweglicher Teile";"Sturzgefahr, weil Kniegelenk sich aus der Beugung nicht strecken lässt";"sehr wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Funktionsprüfung vor Abgabe, bei Wartung überprüfen";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Inspektion / Wartung"
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.8 Funktionsverschlechterung (z. B. zunehmender Verschluss von Flüssigkeits-oder Gasleitungen, oder Veränderungen des Strömungswiderstandes oder der elektrischen Leitfähigkeit) als Ergebnis widerholten Gebrauchs";"ja";"Alterung der Anziehhilfe, scharfe Kanten am Ausziehloch, falsche Anziehtechnik";"Handverletzung";"sehr wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Sichtprüfung vor Anprobe; Unterweisung der Patienten durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.8 Funktionsverschlechterung (z. B. zunehmender Verschluss von Flüssigkeits-oder Gasleitungen, oder Veränderungen des Strömungswiderstandes oder der elektrischen Leitfähigkeit) als Ergebnis widerholten Gebrauchs";"ja";"Anziehhilfe zerreißt beim Herausziehen";"Handverletzung";"sehr wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Prothesengebrauchsschulung. Regelm. Kontrolle des Verschleiß und der Passform";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Handhabung / Funktion"
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.8 Funktionsverschlechterung (z. B. zunehmender Verschluss von Flüssigkeits-oder Gasleitungen, oder Veränderungen des Strömungswiderstandes oder der elektrischen Leitfähigkeit) als Ergebnis widerholten Gebrauchs";"ja";"Bruch beweglicher Teile des Kniegelenkes";"Sturzgefahr durch Unbeabsichtigtes Einbeugen des Prothesenkniegelenks beim Anziehen der Prothese";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter, Beachtung der Herstellerrichtlinien";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.8 Funktionsverschlechterung (z. B. zunehmender Verschluss von Flüssigkeits-oder Gasleitungen, oder Veränderungen des Strömungswiderstandes oder der elektrischen Leitfähigkeit) als Ergebnis widerholten Gebrauchs";"ja";"Druckabfall im Pneumatikzylinder, Luft im Hydraulikzylinder";"Sturzgefahr, weil Standphasenwiderstand zu gering;Sturzgefahr, weil Schwungphasensteuerung unzureichend, zu große Flexionsbewegung, zu langsame Extensionsbewegung";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Funktionsprüfung vor Abgabe, bei Wartung überprüfen";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Inspektion / Wartung"
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.8 Funktionsverschlechterung (z. B. zunehmender Verschluss von Flüssigkeits-oder Gasleitungen, oder Veränderungen des Strömungswiderstandes oder der elektrischen Leitfähigkeit) als Ergebnis widerholten Gebrauchs";"ja";"Fremdkörper in der Mechanik";"Sturzgefahr, weil Sperre nicht einrastet, weil Kniegelenk sich aus der Beugung nicht strecken lässt, oder Kniegelenk zur Einleitung der Schwungphase nicht einbeugt";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Wenn nicht schon konstruktiv geschützt, Abdeckung durch feinen Trikot, Neoprenhülle, zusätzliche Gelenkverkleidung";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Adipöse Stumpfverhältnisse mit starkem Weichteilüberhang; mangelhaftes Verschlusskonzept";"Hautschädigung durch Einklemmen im Bereich von Verschlüssen";"wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung, ggf. Änderung der Verschlusstechnik, Anprobe durch qualifizierte Mitarbeiter, Einarbeitung von Laschen zur  Weichteilführung, Unterweisung der Patienten durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Bodenunebenheiten, Bremswirkung zu gering eingestellt oder Rückverlagerung des Kniedrehpunktes zu gering, statischer Aufbau der Prothese zu labil";"Sturzgefahr durch Unbeabsichtigtes Einknicken im Prothesenkniegelenk nach Fersenkontakt";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Anprobe durch qualifizierte Mitarbeiter; Beachtung der Herstellerrichtlinien; Gehschultraining";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Distaler und mittlerer Schaftbereich zu weit, keine Femurspange oder laterale Anlage";"Scheuerstellen am distalen Stumpf im Bereich des Ventils";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Maß- und Abformtechnik, Anprobe durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Fehlerhafter Aufbau";"Überlastung der kontralateralen Seite, unphysiologische Gangabweichungen";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Berücksichtigung der Herstellerrichtlinien; Anprobe durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Konstruktionsmaße der Schafteintrittsebene zu groß";"Druckstellen im proximalen Stumpfbereich und/ oder am distalen Stumpfende";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Maß- und Abformtechnik, Anprobe durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Konstruktionsmaße der Schafteintrittsebene zu klein";"Scheuerstellen im Proximalen Stumpfbereich; Hautschädigung durch Weichteilüberhang; kein endkontakt, Gefahr der Ödembildung";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Maß- und Abformtechnik, Anprobe durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Rauer proximaler Rand durch Verarbeitungsfehler";"Scheuerstellen am proximalen Rand";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Anprobe durch qualifizierte Mitarbeiter, Prüfung vor Anprobe, Wartung";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Rauer proximaler Rand durch Verarbeitungsfehler";"Scheuerstellen am proximalen Rand";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Anprobe durch qualifizierte Mitarbeiter Prüfung vor Anprobe, Wartung";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Schaft proximal zu eng";"Scheuerstellen am proximalen medialen Rand";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Maß- und Abformtechnik";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Verhalten bei Stumpfschwankungen"
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Schaft zu eng";"Durchblutungsstörung, Stauungsgefahr";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Maß- und Abformtechnik, Anprobe durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Scharfe Kanten am Prothesenschaft; Unsachgemäße Behandlung mit scharfkantigen Gegenständen, falsche Größe";"Übermäßiger Verschleiß von Linersystemen; Beschädigung der Kleidung durch die Prothese, Scheuerstellen am proximalen Rand";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Qualitätskontrollen im Fertigungsprozess; Aufklärung und Unterweisung der Patienten, Kontrolle der Maße am Stumpf";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Stumpfstrumpf sitzt zu locker, falsche Strumpfgröße oder Form";"Hautschädigung durch Faltenwurf der Stumpfstrümpfe";"wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Maß- und Abformtechnik, Anprobe durch qualifizierte Mitarbeiter, Strumpfgröße durch Mitarbeiter/in kontrollieren";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Ungenügende Verspreizung des Stumpfes, ungenügende Adduktionsstellung des Schaftes; Fuß steht zu weit medial";"In der mittleren Standphase weicht die Prothese proximal nach lateral aus";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Anprobe durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.4 Fehlerhafte Fertigung";"ja";"falsche Linerauswahl, falscher Linerzuschnitt";"Hautschädigung durch nicht passgerechten Liner";"sehr wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Anprobe durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.4 Fehlerhafte Fertigung";"ja";"Kontaktschaftventilgehäuse wird beim Herausziehen der Anziehhilfe aus dem flexiblen Innenschaft gerissen. Verarbeitungsfehler bei der Herstellung des Innenschafts oder des Außenschafts, Alterung des Materials.";"Sturzgefahr wegen Verlust der Prothese";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Prüfung vor Anprobe; Arbeitsanweisung für die Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.4 Fehlerhafte Fertigung";"ja";"Nach Justierung sind nicht alle in einer Ebene wirkenden Schrauben ausreichend festgezogen worden";"Sturzgefahr durch Unbeabsichtigtes Lösen von Verbindungsschrauben";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Schrauben mit dem vom Hersteller angegebenen Drehmoment festziehen und mit Sicherungslack z.B. Loctite sichern";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.4 Fehlerhafte Fertigung";"ja";"unsystematische Formgebung oder Volumenbestimmung";"Druckstellen an knöchernen Prominenzen";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Exakte Abformtechnik, Anprobe durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.4 Fehlerhafte Fertigung";"ja";"Verarbeitungsfehler beim Nachmodellieren + Giessen";"Mangelnde Passform des Schaftes";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Mitarbeiterschulung";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.5 Fehlerhafte Endprüfung";"ja";"Achsfriktion zu stark eingestellt oder durch Abrieb stärkere Reibung entstanden";"Sturzgefahr durch Unbeabsichtigtes Einbeugen des Prothesenkniegelenks beim Anziehen der Prothese";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Funktionsprüfung vor Abgabe, bei Wartung überprüfen";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Inspektion / Wartung"
"8 Gefährdungen infolge von Herstellungsfehlern 8.5 Fehlerhafte Endprüfung";"ja";"Befestigungsnieten zu dicht am Gurtende, Verschleiß, Verschlusssystem oder Ventil nicht korrekt montiert";"Sturzgefahr durch Aus- oder Abriss von Verschlussgurten, Sturzgefahr durch Fehlfunktion des distalen Verschluss- oder Einzugsystems; Undichtigkeit des Schaftes dadurch Sturzgefahr wegen Verlust der Prothese";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Prüfung vor Anprobe";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Inspektion / Wartung"
"8 Gefährdungen infolge von Herstellungsfehlern 8.5 Fehlerhafte Endprüfung";"ja";"Einklemmen von Schamhaaren während des täglichen Gebrauchs. Feine Bewegung zwischen flexiblen Innenschaft und Container. ";"Haarwurzelreizung";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Abdeckung von konstruktiv bedingten Spalten, Kürzen des Containers";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.5 Fehlerhafte Endprüfung";"ja";"Entriegelungshebel oder -zug verklemmt";"Sturzgefahr, weil Sperre nicht einrastet";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Funktionsprüfung vor Abgabe";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Inspektion / Wartung"
"8 Gefährdungen infolge von Herstellungsfehlern 8.5 Fehlerhafte Endprüfung";"ja";"Faltenbildung im Innenschaft";"Druckstellen am Stumpf";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Kontrolle der Stumpfmaße durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.5 Fehlerhafte Endprüfung";"ja";"Harte oder scharfkantige Schaftränder";"Beschädigung der Kleidung durch die Prothese";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Prüfung vor Anprobe";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Schädigungen der Kleidung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Inspektion / Wartung"
"8 Gefährdungen infolge von Herstellungsfehlern 8.5 Fehlerhafte Endprüfung";"ja";"Kosmetik sitzt zu lose auf dem Schaft, Kosmetikbefestigung nicht vorhanden oder defekt, der Kosmetiksitz ist zu kurz";"Einklemmgefährdung durch Rutschen der Kosmetik nach distal, Sturzgefahr weil Kniegelenkfunktionen eingeschränkt werden";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Prüfung vor Anprobe";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Inspektion / Wartung"
"8 Gefährdungen infolge von Herstellungsfehlern 8.5 Fehlerhafte Endprüfung";"ja";"Kosmetikstrumpf zu klein und oder zu straff nach proximal gezogen";"Sturzgefahr durch Unbeabsichtigtes Einbeugen des Prothesenkniegelenks beim Anziehen der Prothese";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Anprobe durch qualifizierte Mitarbeiter, Unterweisung der Patienten bei Selbstwechsel der Strümpfe";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.5 Fehlerhafte Endprüfung";"ja";"Mangelnder Stumpfendkontakt";"Vermehrte Schweißbildung, Ödembildung";"wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Anprobe durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.6 Fehlerhafte Produktfreigabe";"ja";;"Funktionsverlust, Schädigung des Patienten";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Abnahme durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.6 Fehlerhafte Produktfreigabe";"ja";"Mangel bei Endkontrolle übersehen";"Druckstellen/ mangelnde Korrektur/Passform";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Qualitätskontrolle durch qualifizierte Mitarbeiter, Mitarbeitereinweisung";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.6 Fehlerhafte Produktfreigabe";"ja";"Mangelhafte Prüfung der Produktkonformität";"Funktionsverlust, Schädigung des Patienten";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Abnahme durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.6 Fehlerhafte Produktfreigabe";"ja";"unzureichende Einweisung des Anwenders";"Verlust des medizinischen / therapeutischen Nutzens; Verschlechterung des Zustands der Patienten";"wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Abgabe durch qualifizierte Mitarbeiter";"möglich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"dgihv0";"ja";"Arretierungsstift zu kurz; Verschlusssystem defekt";"Sturzgefahr durch Distales Verschlusssystem greift nicht";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Prothesengebrauchsschulung, Unterweisung der Patienten und Helfern. Kontrolle durch qualifizierte Mitarbeiter.";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Ist das Versorgungskonzept auf Basis der Erhebung festgelegt, stellen andere Anbindungskonzepte eine Verschlechterung der Versorgungssituation dar und gefährden damit den Versorgungserfolg.";"Hinweis in GA: Handhabung / Funktion"
