"Sitzschalen / Schaumstofflagerung";"Risiko";"Gültigkeit am 2025-10-18 19:04:59";;;;;;;;;;
;;;;;;;;;;;;
"Risikobezug";"Relevant";"Ursache";"Wirkung";"Wahrscheinlichkeit";"Schaden";"Akzeptanzlevel";"Maßnahme";"Wahrscheinlichkeit nach Maßnahme";"Schaden nach Maßnahme";"Akzeptanzlevel danach";"Risiko-Nutzen-Abwägung";"Verbleibende Maßnahmen sofern zutreffend"
"2 Biologische Gefährdungen 2.10 erneute und/oder Kreuzinfektion
8 Gefährdungen infolge von Herstellungsfehlern 8.4 Fehlerhafte Fertigung";"ja";"Mangelnde Sorgfalt im OT-Betrieb";"Infektionen, Hautschädigung, Reizung, Unverträglichkeit, Sensibilisierung";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Maßnahmen laut QM-Handbuch: Sauberkeit und Hygiene, Mitarbeiterschulung intern";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"2 Biologische Gefährdungen 2.11 Pyrogenität
3 Gefährdungen durch die Umwelt 3.6 Lagerung oder Betrieb außerhalb der vorgeschriebenen Umweltbedingungen
3 Gefährdungen durch die Umwelt 3.11 Entflammbarkeit";"ja";"Lagerung an Hitzequellen; Mangelnde Sicherheit bei Umgang mit offenem Feuer oder Hitzequelle, Lagerung oder Betrieb außerhalb der Spezifikation";"Verlust der Passform und des Hilfsmittels, Funktionsstörung; Verbrennungen und Vergiftungen durch Verbrennungsprodukte";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter";"unwahrscheinlich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Einsatz- und Belastungsgrenzen"
"2 Biologische Gefährdungen 2.12 Unfähigkeit, die hygienische Sicherheit aufrechtzuerhalten
7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.7 Wiederverwendung und/oder unrichtige Wiederverwendung";"ja";"Mangelnde Körperpflege/ Reinigung der Lagerung";"Hautschädigung, Reizung, Unverträglichkeit, Sensibilisierung, Infektion";"sehr wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Unterweisung der Patienten durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Körperpflege, Reinigung / Desinfektion"
"2 Biologische Gefährdungen 2.13 Abbau des Werkstoffs
3 Gefährdungen durch die Umwelt 3.10 unzureichende Beständigkeit gegen Schweiß
6 Ungeeignete, unzulängliche oder zu komplizierte Schnittstelle mit dem Anwender 6.6 zweifelhafter oder unklarer Zustand des Gerätes";"ja";"Materialverschleiß, Materialzersetzung";"Verschleißerscheingungen, unzureichende Festigkeit und Formstabilität; Verlust des therapeutischen/medizinischen Nutzens; Verschlechterung des Zustandes des Patienten; weitere Fußdeformationen oder Fehlstellungen";"wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Verwendung von geeigneten Materialien gemäß Risikomanagement, richtig lagern, Unterweisung der Patienten, Reinigen ";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Bestimmungsgemäßer Gebrauch, Einsatz- und Belastungsgrenzen, Inspektion / Wartung"
"2 Biologische Gefährdungen 2.2 biologische Unverträglichkeit";"ja";"Mikrobiologische Verseuchung durch Kontakt verletzter Haut mit Bezugsmaterial";"Reizung, Unverträglichkeit, Sensibilisierung, Infektion";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Verwendung von geeigneten Materialien gemäß Risikomanagement";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Maßnahmen bei verletzter Haut"
"2 Biologische Gefährdungen 2.2 biologische Unverträglichkeit
2 Biologische Gefährdungen 2.4 Toxizität
2 Biologische Gefährdungen 2.5 Allergenität
2 Biologische Gefährdungen 2.6 Mutagenität
2 Biologische Gefährdungen 2.7 Onkogenität
2 Biologische Gefährdungen 2.8 Teratogenität
2 Biologische Gefährdungen 2.9 Karzinogenität";"ja";"Ggf. ungeeignete Materialauswahl";"Vermehrte Schweißbildung, Hautschädigung, Reizung, Unverträglichkeit, Sensibilisierung, biologische Veränderungen";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Verwendung von geeigneten Materialien gemäß Risikomanagement";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"3 Gefährdungen durch die Umwelt 3.9 unzureichende Beständigkeit gegen Reinigungs- und Desinfektionsmittel";"ja";"Kontakt mit ungeeigneten Reinigungsmitteln";"Hautschädigung durch Materialermüdung, Defekt";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Unterweisung der Patienten durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Reinigungshinweise"
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.1 mangelhafte Kennzeichnung";"ja";"unzureichende Befestigung der Sonderanfertigungskennzeichnung";"keine Rückverfolgbarkeit";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"ausreichende Kennzeichnung durch qualifizierte Mitarbeiter";"möglich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.10 lose Verbindung
5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.11 mechanische Beschädigung";"ja";"Verschlusssystem defekt";"indikationsbedingte Versorgung evtl. nicht gegeben, Mangelnder Schutz / Korrektur";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Gebrauchsschulung, Unterweisung der Patienten und Helfern. Kontrolle durch qualifizierte Mitarbeiter.";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Ist das Versorgungskonzept auf Basis der Erhebung festgelegt, stellen andere Anbindungskonzepte eine Verschlechterung der Versorgungssituation dar und gefährden damit den Versorgungserfolg.";"Hinweis in GA: Handhabung / Funktion"
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.11 mechanische Beschädigung";"ja";"Mechanische Reibung durch Untergestell an der SNLS";"Beschädigung SNLS, ggf. unbrauchbar, medizinisch therapeutischer Nutzen nicht gegeben,";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Wareneingansgkontrolle, Schulung Mitarbeiter Produktion, Qualitätskontrolle";"möglich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.13 unzureichende Maßnahmen gegen Abrutschen";"ja";"fehlende oder defekte Positionierungssysteme";"Haut- oder Weichteilschädigungen, Skelettdeformitäten, Strangulation des Nutzers";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Schulung Mitarbeiter bei Produktion und Anpassung,Schulung Anwender über Nutzung der verwendeten Positionierungssysteme, Hinweis Bedienungsanleitung.";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.18 scharfe Kanten und Ecken";"ja";"Ungenügende Verarbeitung von Kanten und Ecken an Aluminium Außenschale, Bauteile vorgefertigter Teile";"ggf. unbrauchbar, medizinisch therapeutischer Nutzen nicht gegeben, Haut oder Weichteilschädigungen";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Wareneingansgkontrolle, Schulung Mitarbeiter Produktion, Qualitätskontrolle, Unterweisung der Patienten";"möglich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.18 scharfe Kanten und Ecken
8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen
8 Gefährdungen infolge von Herstellungsfehlern 8.4 Fehlerhafte Fertigung";"ja";"Raue oder scharfe Kanten an der Lagerung";"Haut- oder Weichteilschädigungen, Druckstellen";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Prüfung vor Anprobe";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.2 unzureichende Gebrauchsanweisungen
5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.3 unzureichender Spezifikationen von Zubehör, das mit dem Medizinprodukt anzuwenden ist
5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.6 unzureichender Spezifikationen für Betrieb und Wartung";"ja";"Hinweise zu Nutzungsdauer, Anwendung, Reinigung, ...";"Falsche Anwendung, Handhabung, Reinigung, Nutzung - Verlust des medizinischen / therapeutischen Nutzens; Verschlechterung des Zustands der Patienten";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Gebrauchsanweisung überarbeiten";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.3 unzureichender Spezifikationen von Zubehör, das mit dem Medizinprodukt anzuwenden ist";"ja";"Hinweise für Zubehörteile Nutzungsdauer, Anwendungen, Reinigung unzureichend.";"ggf. unbrauchbar, medizinisch therapeutischer Nutzen nicht gegeben, Haut oder Weichteilschädigungen";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Schulung Mitarbeiter Produktion, Qualitätskontrolle, Unterweisung der Patienten";"möglich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.4 unzureichende Prüfung der Spezifikation vor der Anwendung";"ja";"Passformkontrolle, Statik, Patientenanforderung, Indikation";"unzureichende Paßform, Druckstellen";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Arbeitsanweisungen einhalten / Überwachen durch Qualitätskontrolle";"unwahrscheinlich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.4 unzureichende Prüfung der Spezifikation vor der Anwendung";"ja";"Volumenschwankungen an der Extremität";"Insuffiziente Passform, Durchblutungsstörungen";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Anprobe durch qualifizierte Mitarbeiter, Adaptivität oder Kompressionsversorgung erwägen";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.4 unzureichende Prüfung der Spezifikation vor der Anwendung
5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.8 begründet voraussehbarer Missbrauch";"ja";"unsachgemäße Benutzung durch den Patienten, z.B.  Kontakt der Prothese mit Säuren oder Salzwasser";"Sturzgefahr durch Bruch, Materialermüdung von Prothesenteilen";"sehr wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Beachtung der Herstellerrichtlinien";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Einsatz- und Belastungsgrenzen, Instandhaltung/ Wartung"
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.4 unzureichende Prüfung der Spezifikation vor der Anwendung
8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Unzureichende Passform";"Hautschädigung bei Benutzung durch Druckstellen";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Systematische Abformtechnik; Anprobe durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Melden von Problemen, Inspektion / Wartung"
